symbol,シグナル数,勝率,平均リターン
7959,1,100.0,10.94
7220,1,100.0,9.41
7723,1,100.0,6.41
4463,1,100.0,4.9
5204,1,100.0,4.68
5344,1,100.0,4.4
7467,1,100.0,4.11
3228,1,100.0,3.85
8530,1,100.0,3.57
7514,1,100.0,3.5
2686,1,100.0,3.47
8522,1,100.0,3.4
9982,1,100.0,3.2
6999,1,100.0,3.2
7205,1,100.0,3.19
7282,1,100.0,3.04
6293,1,100.0,2.71
7607,1,100.0,2.62
2722,1,100.0,2.56
4430,1,100.0,2.38
8803,1,100.0,2.26
1870,1,100.0,1.98
5333,1,100.0,1.84
7259,1,100.0,1.82
2453,1,100.0,1.65
3205,1,100.0,1.5
6203,1,100.0,1.3
8368,1,100.0,1.23
3091,1,100.0,1.01
8904,1,100.0,1.0
1946,1,100.0,0.99
4691,1,100.0,0.98
5482,1,100.0,0.93
7871,1,100.0,0.89
8920,1,100.0,0.62
7241,1,100.0,0.57
2778,1,100.0,0.51
8361,1,100.0,0.46
6586,1,100.0,0.4
6902,1,100.0,0.37
1893,1,100.0,0.29
2540,1,100.0,0.21
3116,1,0.0,0.0
6651,1,0.0,-0.05
9531,1,0.0,-0.29
7630,1,0.0,-0.35
6345,1,0.0,-0.45
4658,1,0.0,-0.67
1712,1,0.0,-0.84
8016,1,0.0,-1.09
3252,1,0.0,-1.23
6995,1,0.0,-1.26
8356,1,0.0,-1.28
4681,1,0.0,-1.42
9793,1,0.0,-1.43
3320,1,0.0,-1.53
6470,1,0.0,-1.58
7649,1,0.0,-1.59
4118,1,0.0,-1.7
6448,1,0.0,-1.77
2424,1,0.0,-1.87
5334,1,0.0,-1.88
3947,1,0.0,-1.94
8802,1,0.0,-1.95
5384,1,0.0,-2.01
9368,1,0.0,-2.08
7322,1,0.0,-2.21
2753,1,0.0,-2.23
5471,1,0.0,-2.25
7250,1,0.0,-2.34
6504,1,0.0,-2.65
7231,1,0.0,-2.81
8609,1,0.0,-2.81
8616,1,0.0,-2.86
6547,1,0.0,-3.0
8015,1,0.0,-3.06
5101,1,0.0,-3.24
7245,1,0.0,-3.41
3202,1,0.0,-3.51
9969,1,0.0,-3.61
6676,1,0.0,-3.79
5714,1,0.0,-3.9
6752,1,0.0,-4.06
8053,1,0.0,-4.3
6103,1,0.0,-4.75
9502,1,0.0,-4.86
9900,1,0.0,-7.99
5406,1,0.0,-9.98
